Kategorie;Nr;Block;Publisher_Soll;Rolle_Soll;Offizielle_Fundstelle_Soll;Bestandsstatus;Vorhandener_Publisher;Vorhandener_Retrieval_Path;Vorhandener_Parser_Fetcher;Source_Package_Zuordnung;Aktivitaetsstatus;Moegliche_Dubletten;Google_News_Ersatzweg_vorhanden;Anmerkung
Pflichtpfad;16;4;Bundessozialgericht;Entscheidungen;https://www.bsg.bund.de/DE/Entscheidungen/entscheidungen_node.html;fehlt_vollstaendig;keiner (0 Codetreffer fuer "bundessozialgericht"/BSG im gesamten Repository);keiner;keiner;n/a;n/a;n/a;keiner;vollstaendige Luecke, auch kein indirekter bzw. Google-News-Ersatzweg vorhanden
Pflichtpfad;17;4;Bundessozialgericht;Presse, Termine und Terminberichte;https://www.bsg.bund.de/DE/Presse/Pressemitteilungen/pressemitteilungen.html;fehlt_vollstaendig;keiner (identisch zu Nr16);keiner;keiner;n/a;n/a;n/a;keiner;vollstaendige Luecke, auch kein indirekter bzw. Google-News-Ersatzweg vorhanden
Pflichtpfad;18;5;Deutscher Gewerkschaftsbund;Presse und Positionen;https://www.dgb.de/unsere-rss-feeds/;teilweise_vorhanden;publisher-dgb.de vorhanden (union-dgb);rp-dgb (Direktweg vorhanden, faellt technisch auf die Startseite zurueck statt auf /unsere-rss-feeds/, da rssUrl/rssUrls leer sind);html-scrape;pkg-arbeit-und-soziales;Referenz aktiv, Gesundheit jedoch BROKEN (KNOWN_PATH_HEALTH sowie docs/quellenarchitektur 00-ist-architektur und 28-Diagnose bestaetigen 0 Dokumente), vom realen Crawl ausgeschlossen;news-verdi und news-ig-metall (Einzelgewerkschaften bereits direkt vorhanden, obwohl No-Go-Regel 8 dies fuer den Pflichtkern ausschliesst), zusaetzlich news-gegenblende, signal-tarifflucht, institution-boeckler;ja, UND bereits real verifiziert (Sprint 9B, lib/helmut/quellenarchitektur/seeds/bundeswege-reparaturen.js: site:dgb.de, HTTP 200 am 2026-07-14 auf GitHub-Runner getestet), aber nicht angewendet (angewendet: 0);bester Kandidat fuer schnelle technische Reparatur, Live-Verifikation liegt bereits dokumentiert vor
Pflichtpfad;19;5;Bundesvereinigung der Deutschen Arbeitgeberverbaende;News und Positionen;https://arbeitgeber.de/newsroom/news/;teilweise_vorhanden;publisher-arbeitgeber.de vorhanden (association-bda);news-bda (Google News site:arbeitgeber.de);googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;keine unmittelbare bekannt;ja (news-bda, Prio 68);kein Direktfeed zur genannten Newsroom-Seite, nur Google-News-Themensuche
Pflichtpfad;20;5;Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege;Presse und Stellungnahmen;https://www.bagfw.de/;fehlt_vollstaendig;keiner (0 Codetreffer fuer "bagfw" im gesamten Repository);keiner;keiner;n/a;n/a;Mitgliedsverbaende Caritas, Diakonie und Der Paritaetische sind einzeln bereits im Bestand (news-caritas, news-diakonie, news-paritaet), obwohl No-Go-Regel 10 / bewusste Ausschluesse Einzelverbaende statt Dachverband ausschliessen;keiner fuer den Dachverband selbst;Dachverband fehlt vollstaendig, aber 3 Einzelmitglieder sind bereits (regelwidrig zur neuen Fachentscheidung) aktiv
Offener_Auswahlentscheid;21a;5;Sozialverband VdK Deutschland;Betroffenenperspektive - Kandidat A (offener Auswahlentscheid);https://www.vdk.de/presse/pressekontakt/;teilweise_vorhanden (Kandidat technisch vorhanden, fachliche Auswahl gegenueber SoVD noch offen);publisher-vdk.de vorhanden (association-vdk);news-sozialverband-vdk (Google News site:vdk.de);googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;laeuft aktuell parallel zu SoVD (Nr21b) im selben Paket, obwohl Fachentscheidung "genau eine" Betroffenenquelle verlangt;ja (news-sozialverband-vdk, Prio 74);einer von zwei technisch bereits vorhandenen Kandidaten fuer die noch offene Rolle Betroffenenperspektive
Offener_Auswahlentscheid;21b;5;Sozialverband Deutschland (SoVD);Betroffenenperspektive - Kandidat B (offener Auswahlentscheid);https://www.sovd.de/;teilweise_vorhanden (Kandidat technisch vorhanden, fachliche Auswahl gegenueber VdK noch offen);publisher-sovd.de vorhanden (association-sovd);news-sozialverband-deutschland (Google News site:sovd.de);googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;laeuft aktuell parallel zu VdK (Nr21a) im selben Paket, obwohl Fachentscheidung "genau eine" Betroffenenquelle verlangt;ja (news-sozialverband-deutschland, Prio 70);einer von zwei technisch bereits vorhandenen Kandidaten fuer die noch offene Rolle Betroffenenperspektive
Technischer_Kandidat;K1;1;BMAS;Forschungsberichte und Open Data;n/a (Kandidat, keine feste Fundstelle im Uebergabepaket);existiert_im_repo;publisher-bmas.de (identisch zu Nr1/Nr2);institution-bmas-forschungsberichte (Google News site:bmas.de Forschungsbericht);googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;n/a (nur Existenzpruefung angefordert);n/a (nur Existenzpruefung angefordert);bereits als Google-News-Weg vorhanden, teilt Publisher mit Nr1/Nr2
Technischer_Kandidat;K2;1;Bundesagentur fuer Arbeit;Pressetermine separat;n/a (Kandidat, keine feste Fundstelle im Uebergabepaket);nicht_vorhanden_im_repo;-;-;-;-;-;n/a;n/a;kein dedizierter Termine-Weg im Bestand, nur die generischen BA-Wege aus Nr3/Nr4
Technischer_Kandidat;K3;2;Destatis;Presse und Veroeffentlichungskalender;n/a (Kandidat, keine feste Fundstelle im Uebergabepaket);nicht_vorhanden_im_repo;-;-;-;-;-;n/a;n/a;nur das generische news-destatis-soziales vorhanden (siehe Nr10), kein dedizierter Kalenderweg
Technischer_Kandidat;K4;3;Deutsche Gesetzliche Unfallversicherung;DGUV Presse;n/a (Kandidat, keine feste Fundstelle im Uebergabepaket);nicht_vorhanden_im_repo;-;-;-;-;-;n/a;n/a;konsistent mit Nr13, DGUV ist im Repository vollstaendig unvertreten
Technischer_Kandidat;K5;5;Sozialverband VdK Deutschland;VdK (Kandidat Betroffenenquelle);https://www.vdk.de/presse/pressekontakt/;existiert_im_repo;publisher-vdk.de;news-sozialverband-vdk;googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;n/a (nur Existenzpruefung angefordert);n/a (nur Existenzpruefung angefordert);identisch zu Nr21a
Technischer_Kandidat;K6;5;Sozialverband Deutschland (SoVD);SoVD (Kandidat Betroffenenquelle);https://www.sovd.de/;existiert_im_repo;publisher-sovd.de;news-sozialverband-deutschland;googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;n/a (nur Existenzpruefung angefordert);n/a (nur Existenzpruefung angefordert);identisch zu Nr21b
Technischer_Kandidat;K7;2;Eurostat;Optional fuer europaeischen Vergleich;n/a (Kandidat, keine feste Fundstelle im Uebergabepaket);nicht_vorhanden_im_repo;-;-;-;-;-;n/a;n/a;0 Codetreffer fuer "eurostat" im gesamten Repository
Technischer_Kandidat;K8;2;Eurofound;Optional fuer europaeischen Vergleich und Arbeitsweltforschung;n/a (Kandidat, keine feste Fundstelle im Uebergabepaket);existiert_im_repo;kein eigener Publisher, Query ohne site:-Bindung -> Herausgeber ist der Aggregator-aggregator-google-news (Google News), nicht Eurofound selbst;institution-eurofound-deutschland (Google News, Volltextsuche "Eurofound Deutschland ...");googlenews-batchexecute;pkg-arbeit-und-soziales;aktiv, needs_review;n/a (nur Existenzpruefung angefordert);n/a (nur Existenzpruefung angefordert);existiert nur als generische Themensuche ohne institutionelle Herausgeber-Bindung
Technischer_Kandidat;K9;2;n/a;Ein zusaetzliches Forschungsinstitut (bedingt, nur bei Luecke);n/a (kein konkreter Name im Uebergabepaket benannt);nicht_anwendbar;-;-;-;-;-;WSI (institution-wsi) und Hans-Boeckler-Stiftung (institution-boeckler) sind bereits als je eigene Wege vorhanden, obwohl 07_bewusste_ausschluesse "DIW, WSI, IW und ifo parallel" wegen Redundanz ausschliesst;n/a;kein konkret benannter Kandidat, daher keine Existenzpruefung im engeren Sinn moeglich, Abweichungshinweis siehe Dubletten-Spalte
Technischer_Kandidat;K10;5;diverse Fachmedien;Spezialisierte Fachmedien;n/a (Kandidat, keine feste Fundstelle im Uebergabepaket);existiert_im_repo (umfangreich);15 einzelne Fachmedien-Publisher (u.a. sozialpolitik-aktuell.de, sozialrecht-justament.de, arbeit-und-arbeitsrecht.de, bund-verlag.de, gegenblende.dgb.de, lto.de, juve.de, personalwirtschaft.de, haufe.de, aerzteblatt.de, wiwo.de, manager-magazin.de, capital.de, heise.de, netzpolitik.org);news-sozialpolitik-aktuell, news-sozialrecht-justament, news-arbeit-und-arbeitsrecht, news-bund-verlag, news-gegenblende, news-lto, news-juve, news-personalwirtschaft, news-haufe, news-aerzteblatt, news-wirtschaftswoche, news-manager-magazin, news-capital, news-heise, news-netzpolitik;googlenews-batchexecute (alle als Site-Suchen, siteSource-Fabrik);pkg-arbeit-und-soziales;aktiv, needs_review;n/a (nur Existenzpruefung angefordert);n/a (nur Existenzpruefung angefordert);Kandidatengruppe bereits sehr umfassend vertreten, 15 statt "einiger" Fachmedien
