Nr;Typ;Ebene;Block;Bezeichnung;Status;Vorhandener_Publisher;Vorhandener_Retrieval_Path;Vorhandener_Parser_Fetcher;Zugeordnetes_Source_Package;Aktiv_Inaktiv_Status;Moegliche_Dubletten;Google_News_Ersatzweg;Anmerkung
11;Pflichtpfad;Bund;2 Kontrolle/Statistik/Recht/EU;Bundesfinanzhof Presse;fehlt vollstaendig;Nein;Nein;Nein;Keines;Nicht vorhanden;Keine erkennbar;Keiner;Wie Nr. 10 - keinerlei Bestand
12;Pflichtpfad;Berlin;3 Berlin;SenFin Berlin fachlicher Signalstrom;teilweise vorhanden;Nein SenFin-spezifisch - nur genereller Landesmodul-Publisher-Kandidat "Land Berlin - Landespressedienst" (berlin.de, entity_id government-berlin-senat) (seeds/landesmodule-quellen.js:34);Ja als vorbereiteter Kandidat, nicht aktiv - be-landesregierung/be-ministerien, Google News "Senat Berlin site:berlin.de", deckt alle Senatsverwaltungen ungefiltert (seeds/landesmodule-kandidaten.js:62-64), Status needs_review/kandidat, live-verifiziert "geeignet" aber nicht angewendet (seeds/landesmodule-verifikation.js:30);Ja methodisch - googlenews-batchexecute (Weg selbst laeuft nicht, da Paket inaktiv);pkg-berlin-basis - Status prepared, laut Master-Status "hart gesperrt", NICHT aktiv;Inaktiv (strukturell vorbereitet, kein Crawl, manual/needs_review);Hohes Risiko - ein SenFin-spezifischer Weg muesste als Institutionsfilter DESSELBEN vorbereiteten LPD-Feeds gefuehrt werden statt als weiterer Parallel-Crawl (Sprint-9-Doku: "Institutionsfilter statt Mehrfach-Crawl");Ja, aber inaktiv und nicht Finanz-spezifisch (alle Senatsverwaltungen gemeinsam);Existiert nur als generischer, inaktiver Berlin-Kandidat aus einem fruehen, unabhaengigen Sprint (Sprint 9/9B) - keine SenFin-Eigenquelle
13;Pflichtpfad;Berlin;3 Berlin;SenFin Berlin Haushaltsdaten und Open Data;fehlt vollstaendig;Nein;Nein;Nein;Keines;Nicht vorhanden;Keine erkennbar;Keiner;Landesmodul Berlin deckt nur parlamentarische PARDOK-XML ab (Plenum/Drucksachen/Gesetzgebung), keine Haushalts-/Finanzdaten
14;Pflichtpfad;Brandenburg;4 Brandenburg;MdFE Brandenburg finanzpolitischer Signalstrom;teilweise vorhanden;Nein MdFE-spezifisch - nur genereller Kandidat "Ministerien Brandenburg (MIL/MWFK/MIK/...)" ohne explizite Nennung von MdFE (seeds/landesmodule-kandidaten.js:87);Ja als vorbereiteter Kandidat, nicht aktiv - bb-landesregierung/bb-ministerien, Google News "Landesregierung/Ministerium Brandenburg", ungefiltert (seeds/landesmodule-kandidaten.js:85-87), Status needs_review/kandidat, live-verifiziert "geeignet" aber nicht angewendet (seeds/landesmodule-verifikation.js:42-43);Ja methodisch - googlenews-batchexecute (Weg selbst laeuft nicht, da Paket inaktiv);pkg-brandenburg-basis - Status prepared, laut Master-Status "hart gesperrt", NICHT aktiv;Inaktiv (strukturell vorbereitet, kein Crawl, manual/needs_review);Gleiches Risiko wie Nr. 12 - Institutionsfilter statt Parallel-Crawl noetig, sobald ein MdFE-eigener Weg entsteht;Ja, aber inaktiv und nicht Finanz-spezifisch (alle Ministerien gemeinsam);Existiert nur als generischer, inaktiver Brandenburg-Kandidat aus Sprint 9/9B - keine MdFE-Eigenquelle
15;Pflichtpfad;Brandenburg;4 Brandenburg;MdFE Brandenburg Haushalts- und Finanzdokumentenindex;fehlt vollstaendig;Nein;Nein;Nein;Keines;Nicht vorhanden;Keine erkennbar;Keiner;Fachentscheidung selbst markiert diesen Pfad als "technisch blockiert" (kein eindeutig stabiler zentraler Index) - deckt sich mit vollstaendig fehlendem Bestand
16;Kandidat;Bund;Technische Kandidaten;BMF getrennte Themenfeeds (Steuern/oeffentliche Finanzen getrennt);nicht vorhanden;Nein eigener Feed;Nein;n/a;n/a;n/a;n/a;n/a;Nur der eine gemeinsame, themenfremd gefilterte Google-News-Weg existiert (s. Nr. 1)
17;Kandidat;Bund;Technische Kandidaten;BMF Subventionsberichte;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Keine Treffer im Repository
18;Kandidat;Bund;Technische Kandidaten;BMF Beteiligungsberichte;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Keine Treffer im Repository
19;Kandidat;Bund;Technische Kandidaten;Bundesrechnungshof Presse (separater Weg);nicht vorhanden;Publisher vorhanden (s. Nr. 7), kein eigener Presse-Weg;Nein eigener Weg;n/a;n/a;n/a;n/a;n/a;Nur der bestehende sozial-gefilterte BRH-Weg (Nr. 7) ist vorhanden
20;Kandidat;EU;Technische Kandidaten;Europaeische Kommission Deutschland Fiskaldokumente;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Nur generische EU-Erwaehnung in der committee-europa-Google-News-Suche und in der political_level-Klassifikation (understanding.js:265), kein Retrieval Path
21;Kandidat;EU;Technische Kandidaten;Eurostat Government Finance Statistics;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Keine Treffer im Repository
22;Kandidat;EU;Technische Kandidaten;ECOFIN und Rat;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Keine Treffer im Repository
23;Kandidat;Bund;Technische Kandidaten;Deutsche Bundesbank Oeffentliche Finanzen;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Keine Treffer im Repository
24;Kandidat;Berlin;Technische Kandidaten;Berlin Zuwendungsdatenbank;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Keine Treffer im Repository
25;Kandidat;Berlin;Technische Kandidaten;Berlin Beteiligungs- und Vermoegensberichte;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Keine Treffer im Repository
26;Kandidat;Brandenburg;Technische Kandidaten;Brandenburg kommunale Finanzen;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Einziger Treffer ist ein unabhaengiger Test-Fixture-Text "Kommunalfinanzen" (scripts/radar-state-test.js:646), keine reale Quelle
27;Kandidat;Brandenburg;Technische Kandidaten;Brandenburg Beteiligungs- und Vermoegensberichte;nicht vorhanden;Nein;Nein;n/a;n/a;n/a;n/a;n/a;Keine Treffer im Repository
28;Kandidat;Optional;Technische Kandidaten;Optionale Interessenbalance (Steuerzahler/Beschaeftigte/Wirtschaft/Kommunen);teilweise wiederverwendbare Basis vorhanden;DGB/ver.di (union-dgb/union-verdi) und BDI/BDA (association-bdi/association-bda) bereits als Publisher vorhanden;Ja fuer 2 von 4 Perspektiven - news-verdi/news-ig-metall/news-bda/news-bdi als Google-News-Wege vorhanden, aber sozial-thematisch gebunden (lib/helmut/sources.js:343-351);Ja - googlenews-batchexecute;pkg-arbeit-und-soziales (aktiv) - nicht neutral/optional im Sinn des neuen Fachpakets gebunden;Aktiv, aber falsch gebunden (sozialpolitisch statt neutral-optional);Wiederverwendungsrisiko - DGB/ver.di/BDI/BDA sind bereits vergebene Publisher, eine Zweitanlage fuer die Interessenbalance waere eine verbotene Herausgeber-Dublette;Ja fuer DGB/verdi/BDI/BDA (s. Retrieval Path);"Bund der Steuerzahler" und "Deutscher Staedtetag"/"Deutscher Landkreistag" existieren nicht im Repository; Perspektive ist ohnehin optional und nicht Teil des Pflichtkerns (00_MASTER/04_NO_GO_REGELN.md Punkt 6)
