source_id,name,domain,typ,gate,anbindung,crawlMethod,prioritaet,im_katalog,aktiv,docs_gesamt,docs_7d,docs_30d,leere_url,letzter_abruf,status
bundle-ausschuss-ausschuss-anhoerung,Ausschussanhörung · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,95,ja,ja,11,6,11,0,2026-07-13,gesund
test-mdb-news-fraktion-partei,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,11,0,11,0,2026-07-02,orphan-alt
bundle-ausschuss-arbeit-soziales,Arbeit und Soziales · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,96,ja,ja,10,9,10,2,2026-07-13,gesund
bundle-ausschuss-grundsicherung,Grundsicherung · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,94,ja,ja,10,9,10,0,2026-07-13,gesund
bundle-ausschuss-haushalt-soziales,Sozialhaushalt · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,93,ja,ja,10,10,10,0,2026-07-13,gesund
test-mdb-news-bundesregierung-vorhaben,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,10,0,10,0,2026-07-02,orphan-alt
institution-bmas-forschungsberichte,BMAS Forschungsberichte,news.google.com,ministry,thema:social,GoogleNews-RSS,rss,82,ja,ja,9,9,9,0,2026-07-13,gesund
signal-armutsbericht,Armutsbericht,news.google.com,association,thema:social,GoogleNews-RSS,rss,70,ja,ja,9,0,9,0,2026-07-05,still/alt
bundle-ausschuss-arbeitsmarkt,Arbeitsmarkt · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,94,ja,ja,9,8,9,0,2026-07-13,gesund
test-mdb-news-bmas-vorhaben,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,8,0,8,0,2026-07-02,orphan-alt
news-diakonie,Diakonie,news.google.com,association,thema:social,GoogleNews-RSS,rss,70,ja,ja,7,1,7,0,2026-07-07,gesund
test-mdb-news-ausschuss-themen,(Legacy/Orphan – nicht im aktuellen Katalog),,?,—,?,?,,nein,?,7,0,7,0,2026-07-02,orphan-alt
bundle-ausschuss-tariftreue,Tariftreue · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,95,ja,ja,6,4,6,0,2026-07-13,gesund
region-braunschweig-arbeit-soziales,Braunschweig Arbeit und Soziales,news.google.com,local,regional,GoogleNews-RSS,rss,72,ja,ja,6,2,6,0,2026-07-07,gesund
radar-mindestlohn,Mindestlohn Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,82,ja,ja,5,2,5,0,2026-07-13,gesund
bundle-ausschuss-ost-west-lohn,Ost-West-Lohn · Ausschuss Arbeit und Soziales,news.google.com,committee,thema:social,GoogleNews-RSS,rss,91,ja,ja,5,4,5,0,2026-07-13,gesund
news-welt,WELT,welt.de,media,neutral,GoogleNews-RSS,rss,68,ja,ja,4,2,4,4,2026-07-07,gesund
news-taz,taz,taz.de,media,neutral,GoogleNews-RSS,rss,68,ja,ja,4,2,4,4,2026-07-07,gesund
news-ntv,ntv,n-tv.de,media,neutral,GoogleNews-RSS,rss,64,ja,ja,4,2,4,4,2026-07-07,gesund
news-zdfheute,ZDFheute,zdfheute.de,media,neutral,GoogleNews-RSS,rss,66,ja,ja,4,2,4,4,2026-07-07,gesund
news-ard,ARD,ard.de,media,neutral,GoogleNews-RSS,rss,64,ja,ja,4,2,4,4,2026-07-07,gesund
news-politico,Politico Deutschland,politico.eu,media,neutral,GoogleNews-RSS,rss,68,ja,ja,4,2,4,4,2026-07-07,gesund
news-wirtschaftswoche,WirtschaftsWoche,wiwo.de,media,thema:social,GoogleNews-RSS,rss,64,ja,ja,4,2,4,4,2026-07-07,gesund
institution-deutscher-verein,Deutscher Verein Sozialpolitik,news.google.com,association,thema:social,GoogleNews-RSS,rss,72,ja,ja,4,4,4,0,2026-07-11,gesund
news-tagesspiegel,Tagesspiegel,tagesspiegel.de,media,neutral,GoogleNews-RSS,rss,64,ja,ja,3,1,3,3,2026-07-06,gesund
radar-rente,Renten Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,82,ja,ja,3,1,3,0,2026-07-09,gesund
region-salzgitter-arbeit-soziales,Salzgitter Arbeit und Soziales,news.google.com,local,regional,GoogleNews-RSS,rss,72,ja,ja,3,2,3,0,2026-07-11,gesund
radar-pflege,Pflege Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,82,ja,ja,2,2,2,0,2026-07-10,gesund
radar-arbeitszeit,Arbeitszeit Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,80,ja,ja,2,1,2,0,2026-07-13,gesund
news-sozialverband-deutschland,SoVD,news.google.com,association,thema:social,GoogleNews-RSS,rss,70,ja,ja,1,0,1,0,2026-07-02,still/alt
cem-ince-news,Cem Ince News-Suche,news.google.com,person,person(demo),GoogleNews-RSS,rss,100,ja,ja,0,0,0,0,,keine_docs
bundesregierung,Bundesregierung,bundesregierung.de,ministry,neutral,Direkt-RSS,rss,95,ja,ja,0,0,0,0,,keine_docs
bundestag,Bundestag,bundestag.de,bundestag,neutral,Direkt-RSS,rss,100,ja,ja,0,0,0,0,,keine_docs
ausschuss-arbeit-soziales,Ausschuss Arbeit und Soziales,bundestag.de,committee,thema:social,HTML-Scrape,html,95,ja,ja,0,0,0,0,,keine_docs
die-linke,Die Linke,die-linke.de,party,partei:Die Linke,Direkt-RSS,rss,90,ja,ja,0,0,0,0,,keine_docs
linksfraktion,Die Linke im Bundestag,dielinkebt.de,party,partei:Die Linke,Direkt-RSS,rss,90,ja,ja,0,0,0,0,,keine_docs
dgb,DGB,dgb.de,association,thema:social,HTML-Scrape,html,75,ja,ja,0,0,0,0,,keine_docs
news-rnd,RND,rnd.de,media,neutral,GoogleNews-RSS,rss,66,ja,ja,0,0,0,0,,keine_docs
news-table-media,Table.Media,table.media,media,neutral,GoogleNews-RSS,rss,68,ja,ja,0,0,0,0,,keine_docs
news-arbeitsagentur,Bundesagentur für Arbeit,news.google.com,official,thema:social,GoogleNews-RSS,rss,82,ja,ja,0,0,0,0,,keine_docs
news-destatis-soziales,Destatis Sozialdaten,news.google.com,official,thema:social,GoogleNews-RSS,rss,82,ja,ja,0,0,0,0,,keine_docs
news-iab,IAB Arbeitsmarkt,news.google.com,official,thema:social,GoogleNews-RSS,rss,82,ja,ja,0,0,0,0,,keine_docs
news-deutsche-rentenversicherung,Deutsche Rentenversicherung,news.google.com,official,thema:social,GoogleNews-RSS,rss,80,ja,ja,0,0,0,0,,keine_docs
news-caritas,Caritas,news.google.com,association,thema:social,GoogleNews-RSS,rss,70,ja,ja,0,0,0,0,,keine_docs
news-bda,BDA,news.google.com,association,thema:social,GoogleNews-RSS,rss,68,ja,ja,0,0,0,0,,keine_docs
news-bdi,BDI,news.google.com,association,thema:social,GoogleNews-RSS,rss,64,ja,ja,0,0,0,0,,keine_docs
news-zdh,ZDH,news.google.com,association,thema:social,GoogleNews-RSS,rss,64,ja,ja,0,0,0,0,,keine_docs
radar-tariftreue,Tariftreue Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,82,ja,ja,0,0,0,0,,keine_docs
radar-arbeitsmarkt,Arbeitsmarkt Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,78,ja,ja,0,0,0,0,,keine_docs
radar-armut,Armuts Radar,news.google.com,media,thema:social,GoogleNews-RSS,rss,78,ja,ja,0,0,0,0,,keine_docs
institution-bundesagentur-statistik,BA Statistik,news.google.com,official,thema:social,GoogleNews-RSS,rss,82,ja,ja,0,0,0,0,,keine_docs
institution-minijob-zentrale,Minijob-Zentrale,news.google.com,official,thema:social,GoogleNews-RSS,rss,66,ja,ja,0,0,0,0,,keine_docs
institution-zoll-finanzkontrolle,Finanzkontrolle Schwarzarbeit,news.google.com,official,thema:social,GoogleNews-RSS,rss,76,ja,ja,0,0,0,0,,keine_docs
institution-bundesrechnungshof-soziales,Bundesrechnungshof Sozialausgaben,news.google.com,official,thema:social,GoogleNews-RSS,rss,70,ja,ja,0,0,0,0,,keine_docs
institution-wsi,WSI,news.google.com,association,thema:social,GoogleNews-RSS,rss,74,ja,ja,0,0,0,0,,keine_docs
institution-oecd-arbeit,OECD Arbeit und Soziales,news.google.com,official,thema:social,GoogleNews-RSS,rss,60,ja,ja,0,0,0,0,,keine_docs
institution-ilo-deutschland,ILO Deutschland,news.google.com,official,thema:social,GoogleNews-RSS,rss,62,ja,ja,0,0,0,0,,keine_docs
institution-eurofound-deutschland,Eurofound Deutschland,news.google.com,official,thema:social,GoogleNews-RSS,rss,58,ja,ja,0,0,0,0,,keine_docs
signal-medienkritik-buergergeld,Bürgergeld Kritik Medienlage,news.google.com,media,thema:social,GoogleNews-RSS,rss,64,ja,ja,0,0,0,0,,keine_docs
signal-rentenstreit,Rentenstreit Medienlage,news.google.com,media,thema:social,GoogleNews-RSS,rss,66,ja,ja,0,0,0,0,,keine_docs
signal-pflegekrise,Pflegekrise Medienlage,news.google.com,media,thema:social,GoogleNews-RSS,rss,64,ja,ja,0,0,0,0,,keine_docs
signal-tarifflucht,Tarifflucht,news.google.com,association,thema:social,GoogleNews-RSS,rss,72,ja,ja,0,0,0,0,,keine_docs
signal-sozialhaushalt,Sozialhaushalt Debatte,news.google.com,media,thema:social,GoogleNews-RSS,rss,70,ja,ja,0,0,0,0,,keine_docs
signal-lohnentwicklung,Lohnentwicklung,news.google.com,official,thema:social,GoogleNews-RSS,rss,70,ja,ja,0,0,0,0,,keine_docs
signal-arbeitslosigkeit,Arbeitslosigkeit,news.google.com,official,thema:social,GoogleNews-RSS,rss,70,ja,ja,0,0,0,0,,keine_docs
region-wolfenbuttel-arbeit-soziales,Wolfenbüttel Arbeit und Soziales,news.google.com,local,regional,GoogleNews-RSS,rss,72,ja,ja,0,0,0,0,,keine_docs
